Date,Price,Open,High,Low,Vol.,Change %
18-Nov-20,"13,001.34","12,939.48","13,011.66","12,877.93",64.50M,0.53%
17-Nov-20,"12,932.70","12,956.54","12,973.28","12,860.14",56.71M,0.70%
14-Nov-20,"12,842.44","12,889.33","12,893.89","12,812.18",9.61M,0.46%
13-Nov-20,"12,784.27","12,726.37","12,792.40","12,672.47",47.53M,0.31%
12-Nov-20,"12,745.10","12,722.34","12,789.13","12,680.77",42.74M,-0.34%
11-Nov-20,"12,789.09","12,713.46","12,803.27","12,621.20",71.89M,0.98%
10-Nov-20,"12,665.01","12,610.12","12,675.56","12,526.28",83.22M,1.19%
9-Nov-20,"12,515.79","12,436.39","12,527.58","12,420.02",51.86M,1.56%
6-Nov-20,"12,323.17","12,222.74","12,338.29","12,210.13",49.33M,1.04%
5-Nov-20,"12,196.06","12,116.56","12,202.48","12,098.83",73.88M,1.75%
4-Nov-20,"11,986.28","11,872.51","12,003.92","11,838.59",84.94M,0.83%
3-Nov-20,"11,888.13","11,816.43","11,910.97","11,811.77",49.09M,1.18%
2-Nov-20,"11,749.97","11,794.93","11,802.71","11,646.07",44.77M,0.25%
30-Oct-20,"11,720.76","11,764.72","11,826.92","11,618.15",40.73M,-0.22%
29-Oct-20,"11,746.26","11,682.96","11,809.54","11,677.58",48.08M,-0.38%
28-Oct-20,"11,791.12","11,988.77","11,990.54","11,753.59",67.82M,-1.37%
27-Oct-20,"11,955.02","11,843.50","11,962.12","11,781.74",42.25M,1.08%
26-Oct-20,"11,827.38","11,994.47","12,008.64","11,774.26",44.47M,-1.38%
23-Oct-20,"11,993.48","12,006.16","12,029.67","11,973.60",48.54M,0.33%
22-Oct-20,"11,954.61","11,942.91","11,989.50","11,881.45",45.09M,-0.25%
21-Oct-20,"11,984.08","12,023.84","12,068.20","11,827.28",53.18M,0.24%
20-Oct-20,"11,955.87","11,924.78","11,997.57","11,892.67",43.33M,0.24%
19-Oct-20,"11,926.75","11,906.30","11,940.30","11,870.57",47.82M,0.95%
16-Oct-20,"11,814.59","11,780.72","11,834.20","11,718.47",40.55M,0.77%
15-Oct-20,"11,724.14","12,070.45","12,070.45","11,708.27",64.47M,-2.35%
14-Oct-20,"12,006.90","11,965.88","12,029.38","11,863.74",37.19K,0.31%
13-Oct-20,"11,969.49","11,981.50","12,033.76","11,939.94",35.00M,-0.06%
12-Oct-20,"11,977.24","12,039.70","12,075.58","11,917.41",50.84M,-0.07%
9-Oct-20,"11,985.51","11,940.44","12,008.02","11,891.37",49.75M,0.55%
8-Oct-20,"11,920.36","11,924.12","11,979.47","11,873.20",47.65M,0.74%
7-Oct-20,"11,832.79","11,792.82","11,856.08","11,745.94",44.74M,0.49%
6-Oct-20,"11,775.47","11,728.04","11,787.64","11,693.48",48.25M,1.26%
5-Oct-20,"11,629.13","11,633.33","11,696.65","11,579.70",41.49M,0.65%
1-Oct-20,"11,554.38","11,490.63","11,566.34","11,490.63",34.90M,1.43%
30-Sep-20,"11,391.75","11,395.03","11,438.20","11,332.64",43.78M,0.22%
29-Sep-20,"11,366.73","11,442.94","11,461.31","11,326.66",32.85M,-0.11%
28-Sep-20,"11,379.06","11,289.66","11,391.32","11,241.04",43.16M,1.75%
25-Sep-20,"11,183.76","11,042.55","11,206.31","10,977.86",41.88M,2.39%
24-Sep-20,"10,922.35","11,123.59","11,129.41","10,905.32",51.46M,-2.84%
23-Sep-20,"11,241.97","11,379.30","11,382.69","11,135.24",48.21M,-0.22%
