Date,Price,Open,High,Low,Vol.,Change %
17-Nov-20,"40,652.67","40,504.75","40,964.22","40,504.75",-,0.37%
16-Nov-20,"40,504.75","40,569.35","40,790.39","40,470.12",-,-0.16%
13-Nov-20,"40,569.35","40,564.56","40,689.60","40,262.22",-,0.01%
12-Nov-20,"40,564.55","41,197.32","41,197.32","40,492.75",-,-1.54%
11-Nov-20,"41,197.32","41,153.05","41,330.49","40,900.03",-,0.11%
10-Nov-20,"41,153.05","40,784.04","41,597.33","40,784.04",-,0.90%
9-Nov-20,"40,784.04","40,731.61","40,943.80","40,596.99",-,0.13%
6-Nov-20,"40,731.61","41,071.30","41,147.05","40,679.61",-,-0.83%
5-Nov-20,"41,071.30","40,281.96","41,084.90","40,281.96",-,1.96%
4-Nov-20,"40,281.96","40,480.88","40,914.59","40,223.45",-,-0.49%
3-Nov-20,"40,480.88","39,112.18","40,499.64","39,112.18",-,3.50%
2-Nov-20,"39,112.18","39,888.00","39,888.00","38,778.68",-,-1.94%
29-Oct-20,"39,888.00","41,186.86","41,186.86","39,275.43",-,-3.15%
28-Oct-20,"41,186.86","41,381.83","41,687.33","41,069.68",-,-0.47%
27-Oct-20,"41,381.83","41,850.47","41,922.19","41,327.72",-,-1.12%
26-Oct-20,"41,850.47","41,266.00","41,876.79","41,266.00",-,1.42%
23-Oct-20,"41,266.00","41,199.02","41,383.38","41,064.38",-,0.16%
22-Oct-20,"41,199.02","41,535.92","41,818.24","41,088.38",-,-0.81%
21-Oct-20,"41,535.92","40,956.58","41,613.05","40,956.58",-,1.41%
20-Oct-20,"40,956.58","40,340.17","41,056.95","40,340.17",-,1.53%
19-Oct-20,"40,340.17","40,164.02","40,491.13","40,077.90",-,0.44%
16-Oct-20,"40,164.02","40,068.50","40,220.73","39,742.25",-,0.24%
15-Oct-20,"40,068.49","40,144.29","40,533.67","40,006.46",-,-0.19%
14-Oct-20,"40,144.29","40,006.68","40,183.87","39,845.77",-,0.34%
13-Oct-20,"40,006.67","40,209.82","40,301.36","39,645.73",-,-0.51%
12-Oct-20,"40,209.82","40,798.43","41,047.46","40,149.78",-,-1.44%
9-Oct-20,"40,798.43","40,353.62","40,830.22","40,307.64",-,1.10%
8-Oct-20,"40,353.62","39,849.96","40,412.06","39,849.96",-,1.26%
7-Oct-20,"39,849.96","39,127.48","39,920.13","39,127.48",-,1.85%
6-Oct-20,"39,127.48","39,072.47","39,349.29","38,568.95",-,0.14%
5-Oct-20,"39,072.47","40,070.83","40,070.83","38,865.10",-,-2.49%
2-Oct-20,"40,070.83","40,676.92","40,838.92","39,905.66",-,-1.49%
1-Oct-20,"40,676.92","40,571.48","40,735.84","40,113.95",-,0.26%
30-Sep-20,"40,571.48","41,204.36","41,438.33","40,494.90",-,-1.54%
29-Sep-20,"41,204.36","40,740.95","41,445.47","40,389.80",-,1.14%
28-Sep-20,"40,740.95","41,701.23","41,785.07","40,644.82",-,-2.30%
25-Sep-20,"41,701.23","41,806.37","42,100.73","41,601.94",-,-0.25%
24-Sep-20,"41,806.37","41,876.26","41,942.35","41,416.90",-,-0.17%
23-Sep-20,"41,876.26","41,828.91","42,023.06","41,755.69",-,0.11%
22-Sep-20,"41,828.91","42,174.14","42,174.14","41,672.45",-,-0.82%
21-Sep-20,"42,174.13","42,504.76","42,551.15","42,121.32",-,-0.78%
18-Sep-20,"42,504.76","42,334.76","42,554.84","42,234.59",-,0.40%
17-Sep-20,"42,334.76","42,282.28","42,632.41","42,276.59",-,0.12%
16-Sep-20,"42,282.28","42,346.42","42,544.87","42,091.97",-,-0.15%
15-Sep-20,"42,346.42","42,531.31","42,831.01","42,263.22",-,-0.43%
14-Sep-20,"42,531.31","42,530.67","42,720.98","42,367.81",-,0.00%
11-Sep-20,"42,530.67","42,647.35","42,869.69","42,457.53",-,-0.27%
10-Sep-20,"42,647.35","42,022.25","42,896.36","42,022.25",-,1.49%
9-Sep-20,"42,022.25","41,985.19","42,196.17","41,610.73",-,0.09%
8-Sep-20,"41,985.19","42,295.75","42,528.49","41,912.60",-,-0.73%
7-Sep-20,"42,295.75","42,023.00","42,400.25","42,023.00",-,0.65%
4-Sep-20,"42,023.00","42,188.11","42,291.92","41,923.68",-,-0.39%
3-Sep-20,"42,188.11","41,834.85","42,212.93","41,834.85",-,0.84%
2-Sep-20,"41,834.85","41,377.26","41,932.85","41,377.26",-,1.11%
1-Sep-20,"41,377.26","41,110.93","41,401.89","41,096.58",-,0.65%
31-Aug-20,"41,110.93","41,056.22","41,311.06","41,016.56",-,0.13%
28-Aug-20,"41,056.22","41,081.94","41,164.83","40,994.04",-,-0.06%
27-Aug-20,"41,081.94","40,862.59","41,276.54","40,862.59",-,0.54%
26-Aug-20,"40,862.59","40,292.82","40,894.53","40,292.82",-,1.41%
25-Aug-20,"40,292.82","39,802.60","40,340.79","39,802.60",-,1.23%
24-Aug-20,"39,802.60","39,621.59","39,824.56","39,473.11",-,0.46%
21-Aug-20,"39,621.59","39,868.55","39,868.55","39,240.07",-,-0.62%
20-Aug-20,"39,868.55","40,154.11","40,249.51","39,781.39",-,-0.71%
19-Aug-20,"40,154.11","40,184.01","40,424.92","40,065.51",-,-0.07%
18-Aug-20,"40,184.01","40,122.50","40,434.60","40,113.29",-,0.15%
17-Aug-20,"40,122.50","40,290.74","40,405.41","39,939.69",-,-0.42%
13-Aug-20,"40,290.74","40,473.18","40,564.18","39,898.22",-,-0.45%
12-Aug-20,"40,473.18","40,559.15","41,117.08","40,390.39",-,-0.21%
11-Aug-20,"40,559.15","39,914.76","40,706.08","39,914.76",-,1.61%
10-Aug-20,"39,914.76","40,029.69","40,195.22","39,828.91",-,-0.29%
7-Aug-20,"40,029.69","40,166.12","40,465.95","39,971.11",-,-0.34%
6-Aug-20,"40,166.12","39,882.78","40,422.83","39,882.78",-,0.71%
5-Aug-20,"39,882.78","39,577.62","39,940.22","39,425.57",-,0.77%
4-Aug-20,"39,577.62","39,871.61","40,330.71","39,528.86",-,-0.74%
3-Aug-20,"39,871.61","39,258.44","39,928.92","39,258.44",-,1.56%
30-Jul-20,"39,258.44","38,836.27","39,270.46","38,781.18",-,1.09%
29-Jul-20,"38,836.27","38,627.27","39,124.33","38,627.27",-,0.54%
28-Jul-20,"38,627.27","38,221.16","38,700.96","38,221.16",-,1.06%
27-Jul-20,"38,221.16","37,607.62","38,291.77","37,607.62",-,1.63%
24-Jul-20,"37,607.62","37,578.21","37,863.30","37,259.17",-,0.08%
23-Jul-20,"37,578.21","37,804.61","38,106.95","37,540.70",-,-0.60%
22-Jul-20,"37,804.61","37,700.31","37,986.37","37,552.07",-,0.28%
21-Jul-20,"37,700.31","37,650.57","37,938.87","37,368.52",-,0.13%
20-Jul-20,"37,650.57","37,330.85","37,741.15","37,330.85",-,0.86%
17-Jul-20,"37,330.85","37,001.44","37,354.15","37,001.44",-,0.89%
16-Jul-20,"37,001.44","36,679.03","37,029.25","36,679.03",-,0.88%
15-Jul-20,"36,679.03","36,745.22","36,891.98","36,638.07",-,-0.18%
14-Jul-20,"36,745.22","36,618.57","36,936.03","36,534.70",-,0.35%
13-Jul-20,"36,618.57","36,190.40","36,722.13","36,190.40",-,1.18%
10-Jul-20,"36,190.40","36,142.17","36,279.56","36,003.18",-,0.13%
9-Jul-20,"36,142.17","35,694.89","36,190.70","35,694.89",-,1.25%
8-Jul-20,"35,694.89","35,373.35","35,703.22","35,373.35",-,0.91%
7-Jul-20,"35,373.35","35,202.77","35,472.68","35,202.77",-,0.48%
6-Jul-20,"35,202.77","35,051.38","35,238.81","35,002.11",-,0.43%
3-Jul-20,"35,051.38","34,978.18","35,105.16","34,918.52",-,0.21%
2-Jul-20,"34,978.18","34,889.41","35,177.39","34,889.41",-,0.25%
1-Jul-20,"34,889.41","34,421.92","34,924.29","34,409.87",-,1.36%
30-Jun-20,"34,421.92","34,181.80","34,424.61","34,146.05",-,0.70%
29-Jun-20,"34,181.80","33,939.49","34,207.00","33,719.51",-,0.71%
26-Jun-20,"33,939.49","33,709.63","34,028.77","33,709.63",-,0.68%
25-Jun-20,"33,709.63","34,034.65","34,034.65","33,657.78",-,-0.95%
24-Jun-20,"34,034.65","34,052.61","34,160.87","33,937.63",-,-0.05%
23-Jun-20,"34,052.61","33,737.92","34,072.97","33,737.92",-,0.93%
22-Jun-20,"33,737.92","33,438.95","33,794.87","33,071.36",-,0.89%
19-Jun-20,"33,438.94","33,539.85","33,699.92","33,369.91",-,-0.30%
18-Jun-20,"33,539.85","33,848.68","33,919.82","33,471.45",-,-0.91%
17-Jun-20,"33,848.68","34,019.12","34,396.38","33,775.76",-,-0.50%
16-Jun-20,"34,019.12","33,824.51","34,138.30","33,824.51",-,0.58%
15-Jun-20,"33,824.51","34,611.23","34,611.23","33,814.86",-,-2.27%
12-Jun-20,"34,609.09","35,128.58","35,128.58","34,503.94",-,-1.48%
11-Jun-20,"35,128.58","35,065.08","35,253.50","34,995.42",-,0.18%
10-Jun-20,"35,065.08","34,803.60","35,111.54","34,803.60",-,0.75%
9-Jun-20,"34,803.60","34,749.57","34,855.39","34,688.12",-,0.16%
8-Jun-20,"34,749.57","34,350.42","34,769.44","34,350.42",-,1.16%
5-Jun-20,"34,350.42","34,119.39","34,367.74","34,081.76",-,0.68%
4-Jun-20,"34,119.39","34,401.42","34,410.05","34,090.13",-,-0.82%
3-Jun-20,"34,401.42","34,408.05","34,657.73","34,354.87",-,-0.02%
2-Jun-20,"34,408.05","34,021.97","34,525.27","34,021.97",-,1.13%
1-Jun-20,"34,021.97","33,931.23","34,062.14","33,820.09",-,0.27%
29-May-20,"33,931.23","33,695.42","34,048.56","33,695.42",-,0.70%
28-May-20,"33,695.42","33,836.61","33,836.61","33,598.40",-,-0.42%
21-May-20,"33,836.61","33,932.81","34,049.00","33,757.37",-,-0.28%
20-May-20,"33,932.81","34,158.55","34,224.15","33,786.96",-,-0.66%
19-May-20,"34,158.55","33,804.97","34,350.78","33,804.97",-,1.05%
18-May-20,"33,804.97","34,008.33","34,393.12","33,770.68",-,-0.60%
15-May-20,"34,008.33","33,804.90","34,041.44","33,804.90",-,0.60%
14-May-20,"33,804.90","33,693.04","33,996.92","33,686.99",-,0.33%
13-May-20,"33,693.04","33,603.02","33,802.87","33,603.02",-,0.27%
12-May-20,"33,603.02","33,283.79","33,628.37","33,283.79",-,0.96%
11-May-20,"33,283.79","33,267.69","33,316.06","33,126.15",-,0.05%
8-May-20,"33,267.69","33,304.16","33,501.30","33,159.05",-,-0.11%
7-May-20,"33,304.16","33,728.18","33,811.36","33,238.88",-,-1.26%
6-May-20,"33,728.18","33,992.75","34,119.51","33,675.49",-,-0.78%
5-May-20,"33,992.75","33,916.64","34,385.76","33,857.83",-,0.22%
4-May-20,"33,916.64","34,111.64","34,163.92","33,709.34",-,-0.57%
30-Apr-20,"34,111.64","33,158.84","34,178.57","33,158.84",-,2.87%
29-Apr-20,"33,158.84","32,553.39","33,158.84","32,553.39",-,1.86%
28-Apr-20,"32,553.39","32,314.57","32,635.91","32,284.78",-,0.74%
27-Apr-20,"32,314.57","32,806.38","32,806.38","32,131.08",-,-1.50%
24-Apr-20,"32,806.38","32,850.83","33,069.17","32,739.84",-,-0.14%
23-Apr-20,"32,850.83","32,464.23","32,938.29","32,448.53",-,1.19%
22-Apr-20,"32,464.23","32,422.83","32,640.17","31,893.57",-,0.13%
21-Apr-20,"32,422.83","33,499.65","33,499.65","32,300.73",-,-3.21%
20-Apr-20,"33,499.65","32,831.83","33,857.54","32,831.83",-,2.03%
17-Apr-20,"32,831.83","31,329.46","33,257.15","31,329.46",-,4.80%
16-Apr-20,"31,329.46","31,242.19","31,447.22","31,016.41",-,0.28%
15-Apr-20,"31,242.19","31,222.74","31,795.18","31,181.76",-,0.06%
14-Apr-20,"31,222.74","31,032.99","31,395.75","30,941.07",-,0.61%
13-Apr-20,"31,032.99","32,033.21","32,033.21","30,928.16",-,-3.12%
10-Apr-20,"32,033.20","31,837.30","32,086.10","31,377.10",-,0.62%
9-Apr-20,"31,837.30","30,971.27","32,009.12","30,971.27",-,2.80%
8-Apr-20,"30,971.27","31,231.55","31,238.35","30,775.45",-,-0.83%
7-Apr-20,"31,231.55","30,579.15","31,303.13","30,579.15",-,2.13%
6-Apr-20,"30,579.15","31,621.79","31,915.41","30,503.27",-,-3.30%
3-Apr-20,"31,621.79","30,782.67","31,817.10","30,782.67",-,2.73%
2-Apr-20,"30,782.66","29,505.57","30,842.00","29,460.38",-,4.33%
1-Apr-20,"29,505.57","29,231.63","29,691.23","28,902.08",-,0.94%
31-Mar-20,"29,231.63","28,023.39","29,334.55","28,023.39",-,4.31%
30-Mar-20,"28,023.39","28,109.57","28,114.10","27,467.35",-,-0.31%
27-Mar-20,"28,109.57","27,267.20","28,273.09","27,156.53",-,3.09%
26-Mar-20,"27,267.20","27,228.80","28,191.33","27,046.71",-,0.14%
25-Mar-20,"27,228.80","28,564.83","28,787.60","27,169.14",-,-4.68%
24-Mar-20,"28,564.83","30,667.41","30,667.41","28,510.45",-,-6.86%
20-Mar-20,"30,667.41","30,129.83","30,928.05","29,903.81",-,1.78%
19-Mar-20,"30,129.83","30,416.05","30,515.62","28,452.44",-,-0.94%
18-Mar-20,"30,416.05","32,616.93","32,616.93","30,378.68",-,-6.75%
17-Mar-20,"32,616.93","33,684.91","33,893.84","32,416.41",-,-3.17%
16-Mar-20,"33,684.91","36,060.88","36,060.88","33,618.90",-,-6.59%
13-Mar-20,"36,060.88","35,956.69","36,212.38","34,266.91",-,0.29%
12-Mar-20,"35,956.69","37,673.25","37,673.25","35,895.77",-,-4.56%
11-Mar-20,"37,673.25","37,695.75","38,333.09","37,523.29",-,-0.06%
10-Mar-20,"37,695.75","37,058.95","37,734.75","36,913.69",-,1.72%
9-Mar-20,"37,058.95","38,219.67","38,219.67","35,917.34",-,-3.04%
6-Mar-20,"38,219.67","39,382.11","39,382.11","38,122.96",-,-2.95%
5-Mar-20,"39,382.11","38,906.40","39,742.50","38,906.40",-,1.22%
4-Mar-20,"38,906.40","39,199.68","39,262.55","38,762.44",-,-0.75%
3-Mar-20,"39,199.68","39,296.30","39,866.46","39,057.53",-,-0.25%
2-Mar-20,"39,296.30","37,983.62","39,362.29","37,983.62",-,3.46%
28-Feb-20,"37,983.62","38,087.32","38,307.07","37,758.57",-,-0.27%
27-Feb-20,"38,087.32","38,338.33","38,338.33","36,918.22",-,-0.65%
26-Feb-20,"38,338.33","38,858.45","38,976.83","38,074.16",-,-1.34%
25-Feb-20,"38,858.45","39,143.73","39,247.75","38,693.02",-,-0.73%
24-Feb-20,"39,143.73","40,249.22","40,249.22","39,079.78",-,-2.75%
21-Feb-20,"40,249.22","40,481.65","40,527.08","40,171.10",-,-0.57%
20-Feb-20,"40,481.65","40,574.52","40,697.05","40,445.78",-,-0.23%
19-Feb-20,"40,574.52","40,175.35","40,644.06","40,175.35",-,0.99%
18-Feb-20,"40,175.35","40,276.93","40,600.80","40,065.86",-,-0.25%
17-Feb-20,"40,276.93","40,243.26","40,521.69","40,047.93",-,0.08%
14-Feb-20,"40,243.26","40,455.44","40,603.16","40,094.29",-,-0.52%
13-Feb-20,"40,455.44","40,531.13","40,787.09","40,323.42",-,-0.19%
12-Feb-20,"40,531.13","39,714.46","40,637.79","39,714.46",-,2.06%
11-Feb-20,"39,714.46","39,296.70","39,985.96","39,084.86",-,1.06%
10-Feb-20,"39,296.70","40,143.63","40,150.34","39,196.19",-,-2.11%
7-Feb-20,"40,143.63","40,724.40","40,869.49","40,046.48",-,-1.43%
6-Feb-20,"40,724.41","40,884.25","41,162.91","40,684.18",-,-0.39%
4-Feb-20,"40,884.25","40,409.38","40,953.29","40,349.00",-,1.18%
3-Feb-20,"40,409.38","41,630.93","41,630.93","40,233.64",-,-2.93%
31-Jan-20,"41,630.94","41,903.50","42,137.40","41,558.74",-,-0.65%
30-Jan-20,"41,903.51","41,898.70","41,982.70","41,548.04",-,0.01%
29-Jan-20,"41,898.70","42,299.19","42,429.49","41,790.81",-,-0.95%
28-Jan-20,"42,299.19","42,539.23","42,539.23","42,153.29",-,-0.56%
27-Jan-20,"42,539.23","42,633.02","42,738.56","42,472.16",-,-0.22%
24-Jan-20,"42,633.03","42,506.95","42,707.43","42,250.56",-,0.30%
23-Jan-20,"42,506.95","42,561.27","42,906.14","42,439.68",-,-0.13%
22-Jan-20,"42,561.27","42,626.47","42,675.42","42,144.47",-,-0.15%
21-Jan-20,"42,626.48","42,747.62","42,965.41","42,338.79",-,-0.28%
20-Jan-20,"42,747.63","43,167.76","43,302.61","42,632.58",-,-0.97%
17-Jan-20,"43,167.77","43,065.09","43,246.61","43,017.50",-,0.24%
16-Jan-20,"43,065.10","42,993.02","43,205.26","42,805.73",-,0.17%
15-Jan-20,"42,993.03","43,207.04","43,239.88","42,877.90",-,-0.50%
14-Jan-20,"43,207.04","43,218.67","43,468.22","43,095.41",-,-0.03%
13-Jan-20,"43,218.67","43,207.05","43,453.34","43,037.72",-,0.03%
10-Jan-20,"43,207.05","42,523.07","43,241.78","42,523.07",-,1.61%
9-Jan-20,"42,523.07","41,357.56","42,556.01","41,357.56",-,2.82%
8-Jan-20,"41,357.56","41,904.47","41,939.47","41,173.95",-,-1.31%
7-Jan-20,"41,904.47","41,296.24","41,967.94","41,296.24",-,1.47%
6-Jan-20,"41,296.24","42,323.30","42,323.30","41,207.16",-,-2.43%
3-Jan-20,"42,323.30","42,480.76","42,835.08","42,077.45",-,-0.37%
2-Jan-20,"42,480.76","41,400.00","42,543.73","41,400.00",-,2.61%
1-Jan-20,"41,400.00","40,735.08","41,544.05","40,735.08",-,1.63%
31-Dec-19,"40,735.08","40,887.62","40,997.50","40,689.02",-,-0.37%
30-Dec-19,"40,887.62","40,848.53","41,295.28","40,815.80",-,0.10%
27-Dec-19,"40,848.53","41,127.79","41,289.68","40,726.65",-,-0.68%
26-Dec-19,"41,127.79","40,328.32","41,148.72","40,328.32",-,1.98%
24-Dec-19,"40,328.32","40,008.29","40,488.68","39,455.33",-,0.80%
23-Dec-19,"40,008.29","40,832.99","40,832.99","39,931.78",-,-2.02%
20-Dec-19,"40,832.99","40,655.37","41,054.42","40,493.99",-,0.44%
19-Dec-19,"40,655.37","41,603.71","41,796.33","40,414.36",-,-2.28%
18-Dec-19,"41,603.71","41,768.66","41,920.62","41,389.60",-,-0.39%
17-Dec-19,"41,768.66","41,644.88","42,056.14","41,025.71",-,0.30%
16-Dec-19,"41,644.88","40,916.59","41,699.04","40,916.59",-,1.78%
13-Dec-19,"40,916.59","40,514.17","41,077.82","40,514.17",-,0.99%
12-Dec-19,"40,514.17","40,531.42","40,769.88","40,172.32",-,-0.04%
11-Dec-19,"40,531.42","40,664.60","40,911.19","40,450.98",-,-0.33%
10-Dec-19,"40,664.60","40,442.81","40,704.22","40,259.03",-,0.55%
9-Dec-19,"40,442.80","40,732.25","40,916.39","40,314.94",-,-0.71%
6-Dec-19,"40,732.25","40,641.10","40,987.76","40,595.96",-,0.22%
5-Dec-19,"40,641.10","40,270.52","40,809.31","40,270.52",-,0.92%
4-Dec-19,"40,270.52","39,788.73","40,306.55","39,659.43",-,1.21%
3-Dec-19,"39,788.73","40,124.22","40,444.05","39,725.70",-,-0.84%
2-Dec-19,"40,124.22","39,287.65","40,144.12","39,287.65",-,2.13%
29-Nov-19,"39,287.65","38,706.27","39,452.76","38,706.27",-,1.50%
28-Nov-19,"38,706.27","38,122.72","38,847.19","38,122.72",-,1.53%
27-Nov-19,"38,122.72","37,795.05","38,122.72","37,671.63",-,0.87%
26-Nov-19,"37,795.05","38,212.28","38,568.05","37,535.89",-,-1.09%
25-Nov-19,"38,212.28","37,925.79","38,293.08","37,839.03",-,0.76%
22-Nov-19,"37,925.79","37,101.31","37,948.37","36,953.96",-,2.22%
21-Nov-19,"37,101.31","38,037.68","38,096.56","37,033.45",-,-2.46%
20-Nov-19,"38,037.68","38,564.37","38,661.71","37,977.63",-,-1.37%
19-Nov-19,"38,564.37","38,411.56","38,911.46","38,393.61",-,0.40%
18-Nov-19,"38,411.56","37,583.89","38,452.73","37,583.89",-,2.20%
15-Nov-19,"37,583.89","37,243.20","37,634.75","37,225.61",-,0.91%
14-Nov-19,"37,243.20","37,166.96","37,507.02","37,130.01",-,0.21%
13-Nov-19,"37,166.96","36,765.56","37,289.41","36,481.03",-,1.09%
12-Nov-19,"36,765.56","36,803.10","37,171.04","36,672.22",-,-0.10%
11-Nov-19,"36,803.10","35,978.16","36,817.73","35,978.16",-,2.29%
8-Nov-19,"35,978.16","35,758.52","36,048.52","35,758.52",-,0.61%
7-Nov-19,"35,758.52","35,653.33","35,834.24","35,458.10",-,0.30%
6-Nov-19,"35,653.33","35,358.31","35,985.21","35,358.31",-,0.83%
5-Nov-19,"35,358.31","35,277.46","35,608.77","35,243.22",-,0.23%
4-Nov-19,"35,277.46","34,377.61","35,309.01","34,377.61",-,2.62%
