Date,Price,Open,High,Low,Vol.,Change %
25-Nov-20,"1,196.84","1,197.06","1,201.43","1,192.16",-,-0.05%
24-Nov-20,"1,197.43","1,185.54","1,197.44","1,185.54",-,1.02%
23-Nov-20,"1,185.34","1,189.27","1,198.83","1,185.34",-,-0.24%
20-Nov-20,"1,188.19","1,182.50","1,191.96","1,180.49",-,0.47%
19-Nov-20,"1,182.66","1,191.51","1,191.51","1,179.40",-,-0.83%
18-Nov-20,"1,192.54","1,188.44","1,195.77","1,182.65",-,0.37%
17-Nov-20,"1,188.17","1,192.05","1,193.30","1,181.43",-,-0.35%
16-Nov-20,"1,192.38","1,181.17","1,198.49","1,181.17",-,1.05%
13-Nov-20,"1,179.99","1,181.12","1,186.10","1,176.38",-,-0.11%
12-Nov-20,"1,181.27","1,191.91","1,191.91","1,179.27",-,-1.01%
11-Nov-20,"1,193.35","1,179.86","1,195.31","1,179.86",-,1.19%
10-Nov-20,"1,179.30","1,168.88","1,182.88","1,165.92",-,0.87%
9-Nov-20,"1,169.16","1,122.02","1,182.54","1,122.02",-,4.24%
6-Nov-20,"1,121.57","1,123.25","1,127.00","1,110.80",-,-0.10%
5-Nov-20,"1,122.71","1,111.73","1,125.48","1,111.73",-,0.95%
4-Nov-20,"1,112.16","1,085.27","1,113.59","1,075.95",-,2.15%
3-Nov-20,"1,088.79","1,062.91","1,088.97","1,062.91",-,2.45%
2-Nov-20,"1,062.75","1,043.50","1,064.95","1,041.37",-,1.80%
30-Oct-20,"1,043.94","1,043.91","1,046.69","1,035.05",-,-0.01%
29-Oct-20,"1,044.06","1,044.89","1,052.90","1,032.85",-,-0.07%
28-Oct-20,"1,044.74","1,077.91","1,077.91","1,036.58",-,-3.03%
27-Oct-20,"1,077.38","1,087.90","1,090.88","1,075.75",-,-0.98%
26-Oct-20,"1,087.99","1,107.58","1,107.58","1,087.40",-,-1.81%
23-Oct-20,"1,108.05","1,100.05","1,113.47","1,098.90",-,0.68%
22-Oct-20,"1,100.54","1,101.51","1,103.00","1,088.68",-,-0.12%
21-Oct-20,"1,101.82","1,117.21","1,118.19","1,101.45",-,-1.26%
20-Oct-20,"1,115.85","1,119.33","1,123.14","1,114.26",-,-0.46%
19-Oct-20,"1,121.06","1,125.70","1,134.88","1,118.44",-,-0.25%
16-Oct-20,"1,123.86","1,109.54","1,127.68","1,109.54",-,1.41%
15-Oct-20,"1,108.23","1,131.22","1,131.22","1,102.99",-,-2.23%
14-Oct-20,"1,133.53","1,135.98","1,139.54","1,132.40",-,-0.36%
13-Oct-20,"1,137.68","1,142.96","1,143.62","1,133.77",-,-0.41%
12-Oct-20,"1,142.40","1,136.43","1,144.90","1,134.14",-,0.68%
9-Oct-20,"1,134.66","1,128.65","1,135.99","1,128.65",-,0.62%
8-Oct-20,"1,127.65","1,121.69","1,132.01","1,119.56",-,0.76%
7-Oct-20,"1,119.09","1,121.26","1,125.50","1,115.44",-,-0.21%
6-Oct-20,"1,121.49","1,123.05","1,126.72","1,114.49",-,-0.01%
5-Oct-20,"1,121.57","1,117.41","1,125.75","1,117.41",-,0.63%
2-Oct-20,"1,114.57","1,109.18","1,114.58","1,098.91",-,0.13%
1-Oct-20,"1,113.16","1,115.14","1,123.57","1,108.76",-,0.03%
30-Sep-20,"1,112.86","1,114.38","1,121.70","1,107.51",-,-0.27%
29-Sep-20,"1,115.90","1,122.35","1,122.35","1,113.35",-,-0.63%
28-Sep-20,"1,122.94","1,104.58","1,124.91","1,104.58",-,2.05%
25-Sep-20,"1,100.41","1,103.62","1,105.59","1,087.48",-,-0.26%
24-Sep-20,"1,103.23","1,109.61","1,112.09","1,098.92",-,-0.97%
23-Sep-20,"1,114.07","1,110.45","1,125.69","1,110.45",-,0.53%
22-Sep-20,"1,108.20","1,107.12","1,115.95","1,107.12",-,0.23%
21-Sep-20,"1,105.66","1,137.64","1,137.64","1,102.38",-,-3.06%
18-Sep-20,"1,140.54","1,148.14","1,153.21","1,140.47",-,-0.77%
17-Sep-20,"1,149.36","1,153.34","1,153.34","1,140.40",-,-0.59%
16-Sep-20,"1,156.22","1,152.83","1,157.78","1,148.56",-,0.33%
15-Sep-20,"1,152.41","1,143.72","1,156.04","1,141.72",-,0.73%
14-Sep-20,"1,144.02","1,145.08","1,152.38","1,140.79",-,0.07%
11-Sep-20,"1,143.24","1,140.06","1,147.35","1,136.31",-,0.30%
10-Sep-20,"1,139.86","1,147.33","1,149.51","1,135.88",-,-0.63%
9-Sep-20,"1,147.08","1,127.15","1,149.33","1,127.15",-,1.67%
8-Sep-20,"1,128.28","1,140.28","1,144.27","1,120.17",-,-1.08%
7-Sep-20,"1,140.57","1,123.89","1,143.08","1,123.89",-,1.49%
4-Sep-20,"1,123.79","1,132.67","1,144.56","1,116.29",-,-1.13%
3-Sep-20,"1,136.63","1,152.18","1,165.90","1,132.06",-,-1.16%
2-Sep-20,"1,149.97","1,132.51","1,156.19","1,132.51",-,1.72%
1-Sep-20,"1,130.47","1,136.30","1,143.74","1,122.46",-,-0.27%
31-Aug-20,"1,133.52","1,144.22","1,150.13","1,132.55",-,-0.78%
28-Aug-20,"1,142.46","1,149.29","1,151.78","1,138.54",-,-0.62%
27-Aug-20,"1,149.58","1,156.86","1,157.51","1,149.37",-,-0.63%
26-Aug-20,"1,156.82","1,149.25","1,156.89","1,144.78",-,0.68%
25-Aug-20,"1,148.99","1,155.02","1,164.52","1,148.97",-,-0.39%
24-Aug-20,"1,153.52","1,137.01","1,156.96","1,137.01",-,1.64%
21-Aug-20,"1,134.88","1,140.86","1,145.37","1,125.89",-,-0.31%
20-Aug-20,"1,138.42","1,147.62","1,147.62","1,133.98",-,-1.16%
19-Aug-20,"1,151.81","1,141.86","1,151.87","1,138.28",-,0.83%
18-Aug-20,"1,142.34","1,147.45","1,155.17","1,138.83",-,-0.52%
17-Aug-20,"1,148.34","1,145.72","1,150.05","1,140.64",-,0.20%
14-Aug-20,"1,146.07","1,158.45","1,158.45","1,136.69",-,-1.11%
13-Aug-20,"1,158.88","1,164.96","1,165.92","1,157.34",-,-0.80%
12-Aug-20,"1,168.28","1,153.32","1,171.15","1,151.68",-,1.26%
11-Aug-20,"1,153.77","1,137.97","1,160.39","1,137.97",-,1.70%
10-Aug-20,"1,134.53","1,132.13","1,139.34","1,128.37",-,0.38%
7-Aug-20,"1,130.18","1,128.15","1,132.30","1,122.29",-,0.13%
6-Aug-20,"1,128.73","1,137.21","1,141.28","1,124.23",-,-0.90%
5-Aug-20,"1,139.01","1,137.66","1,147.65","1,137.50",-,0.20%
4-Aug-20,"1,136.72","1,138.13","1,143.15","1,129.29",-,0.00%
3-Aug-20,"1,136.74","1,113.79","1,140.29","1,111.32",-,2.04%
31-Jul-20,"1,114.03","1,126.41","1,136.89","1,113.66",-,-1.12%
30-Jul-20,"1,126.65","1,153.74","1,153.74","1,116.86",-,-2.20%
